omp_num_threads,graph,order,size,time,iterations,error,technique
"2","soc-Slashdot0811","77360","905468","56.174","55","0","pagerankOmp"
"2","soc-Slashdot0811","77360","905468","7.014","0","9.7008e-7","pagerankNvgraph"
"4","soc-Slashdot0811","77360","905468","33.043","55","0","pagerankOmp"
"4","soc-Slashdot0811","77360","905468","6.578","0","0.0000010596","pagerankNvgraph"
"8","soc-Slashdot0811","77360","905468","24.974","55","0","pagerankOmp"
"8","soc-Slashdot0811","77360","905468","6.6","0","0.0000010581","pagerankNvgraph"
"16","soc-Slashdot0811","77360","905468","22.236","55","0","pagerankOmp"
"16","soc-Slashdot0811","77360","905468","6.722","0","0.0000010578","pagerankNvgraph"
"28","soc-Slashdot0811","77360","905468","24.281","55","0","pagerankOmp"
"28","soc-Slashdot0811","77360","905468","6.505","0","9.7165e-7","pagerankNvgraph"
"32","soc-Slashdot0811","77360","905468","23.679","55","0","pagerankOmp"
"32","soc-Slashdot0811","77360","905468","6.511","0","9.7165e-7","pagerankNvgraph"
"48","soc-Slashdot0811","77360","905468","43.888","55","0","pagerankOmp"
"48","soc-Slashdot0811","77360","905468","6.488","0","9.7165e-7","pagerankNvgraph"
"2","soc-Slashdot0902","82168","948464","61.65","56","0","pagerankOmp"
"2","soc-Slashdot0902","82168","948464","6.784","0","8.763e-7","pagerankNvgraph"
"4","soc-Slashdot0902","82168","948464","35.62","56","0","pagerankOmp"
"4","soc-Slashdot0902","82168","948464","7","0","8.3158e-7","pagerankNvgraph"
"8","soc-Slashdot0902","82168","948464","27.318","56","0","pagerankOmp"
"8","soc-Slashdot0902","82168","948464","6.755","0","8.7022e-7","pagerankNvgraph"
"16","soc-Slashdot0902","82168","948464","23.85","56","0","pagerankOmp"
"16","soc-Slashdot0902","82168","948464","6.749","0","8.7817e-7","pagerankNvgraph"
"28","soc-Slashdot0902","82168","948464","24.526","56","0","pagerankOmp"
"28","soc-Slashdot0902","82168","948464","6.658","0","8.9892e-7","pagerankNvgraph"
"32","soc-Slashdot0902","82168","948464","25.525","56","0","pagerankOmp"
"32","soc-Slashdot0902","82168","948464","6.605","0","8.8881e-7","pagerankNvgraph"
"48","soc-Slashdot0902","82168","948464","41.277","56","0","pagerankOmp"
"48","soc-Slashdot0902","82168","948464","6.662","0","8.6331e-7","pagerankNvgraph"
"2","soc-Epinions1","75888","508837","52.355","55","0","pagerankOmp"
"2","soc-Epinions1","75888","508837","6.751","0","0.000001487","pagerankNvgraph"
"4","soc-Epinions1","75888","508837","36.236","54","0","pagerankOmp"
"4","soc-Epinions1","75888","508837","7.145","0","0.0000027193","pagerankNvgraph"
"8","soc-Epinions1","75888","508837","29.347","54","0","pagerankOmp"
"8","soc-Epinions1","75888","508837","6.762","0","0.0000011751","pagerankNvgraph"
"16","soc-Epinions1","75888","508837","26.606","55","0","pagerankOmp"
"16","soc-Epinions1","75888","508837","6.549","0","8.062e-7","pagerankNvgraph"
"28","soc-Epinions1","75888","508837","28.63","54","0","pagerankOmp"
"28","soc-Epinions1","75888","508837","6.658","0","0.000001111","pagerankNvgraph"
"32","soc-Epinions1","75888","508837","30.626","54","0","pagerankOmp"
"32","soc-Epinions1","75888","508837","6.689","0","0.000001107","pagerankNvgraph"
"48","soc-Epinions1","75888","508837","50.022","54","0","pagerankOmp"
"48","soc-Epinions1","75888","508837","6.708","0","0.0000011072","pagerankNvgraph"
"2","coAuthorsDBLP","299067","1955352","150.212","45","0","pagerankOmp"
"2","coAuthorsDBLP","299067","1955352","7.403","0","0.0000029339","pagerankNvgraph"
"4","coAuthorsDBLP","299067","1955352","86.488","45","0","pagerankOmp"
"4","coAuthorsDBLP","299067","1955352","7.089","0","0.0000029339","pagerankNvgraph"
"8","coAuthorsDBLP","299067","1955352","46.446","45","0","pagerankOmp"
"8","coAuthorsDBLP","299067","1955352","7.911","0","0.0000029339","pagerankNvgraph"
"16","coAuthorsDBLP","299067","1955352","28.617","45","0","pagerankOmp"
"16","coAuthorsDBLP","299067","1955352","7.025","0","0.0000029339","pagerankNvgraph"
"28","coAuthorsDBLP","299067","1955352","26.371","45","0","pagerankOmp"
"28","coAuthorsDBLP","299067","1955352","7.117","0","0.0000029339","pagerankNvgraph"
"32","coAuthorsDBLP","299067","1955352","25.402","45","0","pagerankOmp"
"32","coAuthorsDBLP","299067","1955352","7.115","0","0.0000029339","pagerankNvgraph"
"48","coAuthorsDBLP","299067","1955352","40.907","45","0","pagerankOmp"
"48","coAuthorsDBLP","299067","1955352","7.129","0","0.0000029339","pagerankNvgraph"
"2","coAuthorsCiteseer","227320","1628268","125.882","48","0","pagerankOmp"
"2","coAuthorsCiteseer","227320","1628268","7.04","0","0.00000219","pagerankNvgraph"
"4","coAuthorsCiteseer","227320","1628268","68.508","48","0","pagerankOmp"
"4","coAuthorsCiteseer","227320","1628268","6.691","0","0.00000219","pagerankNvgraph"
"8","coAuthorsCiteseer","227320","1628268","37.644","48","0","pagerankOmp"
"8","coAuthorsCiteseer","227320","1628268","7.056","0","0.00000219","pagerankNvgraph"
"16","coAuthorsCiteseer","227320","1628268","25.061","48","0","pagerankOmp"
"16","coAuthorsCiteseer","227320","1628268","6.705","0","0.00000219","pagerankNvgraph"
"28","coAuthorsCiteseer","227320","1628268","21.5","48","0","pagerankOmp"
"28","coAuthorsCiteseer","227320","1628268","7.013","0","0.00000219","pagerankNvgraph"
"32","coAuthorsCiteseer","227320","1628268","21.864","48","0","pagerankOmp"
"32","coAuthorsCiteseer","227320","1628268","6.993","0","0.00000219","pagerankNvgraph"
"48","coAuthorsCiteseer","227320","1628268","38.926","48","0","pagerankOmp"
"48","coAuthorsCiteseer","227320","1628268","6.663","0","0.00000219","pagerankNvgraph"
"2","soc-LiveJournal1","4847571","68993773","7743.063","51","0","pagerankOmp"
"2","soc-LiveJournal1","4847571","68993773","168.053","0","0.0000036561","pagerankNvgraph"
"4","soc-LiveJournal1","4847571","68993773","4262.776","51","0","pagerankOmp"
"4","soc-LiveJournal1","4847571","68993773","167.619","0","0.0000024506","pagerankNvgraph"
"8","soc-LiveJournal1","4847571","68993773","2193.099","51","0","pagerankOmp"
"8","soc-LiveJournal1","4847571","68993773","168.047","0","0.0000025563","pagerankNvgraph"
"16","soc-LiveJournal1","4847571","68993773","1176.761","51","0","pagerankOmp"
"16","soc-LiveJournal1","4847571","68993773","168.016","0","0.0000025357","pagerankNvgraph"
"28","soc-LiveJournal1","4847571","68993773","1034.338","51","0","pagerankOmp"
"28","soc-LiveJournal1","4847571","68993773","167.876","0","0.0000031228","pagerankNvgraph"
"32","soc-LiveJournal1","4847571","68993773","981.691","51","0","pagerankOmp"
"32","soc-LiveJournal1","4847571","68993773","168.203","0","0.000003822","pagerankNvgraph"
"48","soc-LiveJournal1","4847571","68993773","861.084","51","0","pagerankOmp"
"48","soc-LiveJournal1","4847571","68993773","168.043","0","0.0000038261","pagerankNvgraph"
"2","coPapersCiteseer","434102","32073440","1341.284","51","0","pagerankOmp"
"2","coPapersCiteseer","434102","32073440","26.054","0","0.0000019895","pagerankNvgraph"
"4","coPapersCiteseer","434102","32073440","701.838","51","0","pagerankOmp"
"4","coPapersCiteseer","434102","32073440","26.049","0","0.0000019895","pagerankNvgraph"
"8","coPapersCiteseer","434102","32073440","424.103","51","0","pagerankOmp"
"8","coPapersCiteseer","434102","32073440","26.06","0","0.0000019895","pagerankNvgraph"
"16","coPapersCiteseer","434102","32073440","303.325","51","0","pagerankOmp"
"16","coPapersCiteseer","434102","32073440","25.892","0","0.0000019895","pagerankNvgraph"
"28","coPapersCiteseer","434102","32073440","230.777","51","0","pagerankOmp"
"28","coPapersCiteseer","434102","32073440","26.112","0","0.0000019895","pagerankNvgraph"
"32","coPapersCiteseer","434102","32073440","221.747","51","0","pagerankOmp"
"32","coPapersCiteseer","434102","32073440","25.821","0","0.0000019895","pagerankNvgraph"
"48","coPapersCiteseer","434102","32073440","221.938","51","0","pagerankOmp"
"48","coPapersCiteseer","434102","32073440","26.129","0","0.0000019895","pagerankNvgraph"
"2","coPapersDBLP","540486","30491458","1316.677","49","0","pagerankOmp"
"2","coPapersDBLP","540486","30491458","24.762","0","0.0000014915","pagerankNvgraph"
"4","coPapersDBLP","540486","30491458","669.905","49","0","pagerankOmp"
"4","coPapersDBLP","540486","30491458","24.839","0","0.0000014915","pagerankNvgraph"
"8","coPapersDBLP","540486","30491458","360.796","49","0","pagerankOmp"
"8","coPapersDBLP","540486","30491458","24.395","0","0.0000014915","pagerankNvgraph"
"16","coPapersDBLP","540486","30491458","208.69","49","0","pagerankOmp"
"16","coPapersDBLP","540486","30491458","24.428","0","0.0000014915","pagerankNvgraph"
"28","coPapersDBLP","540486","30491458","176.515","49","0","pagerankOmp"
"28","coPapersDBLP","540486","30491458","24.41","0","0.0000014915","pagerankNvgraph"
"32","coPapersDBLP","540486","30491458","167.479","49","0","pagerankOmp"
"32","coPapersDBLP","540486","30491458","24.4","0","0.0000014915","pagerankNvgraph"
"48","coPapersDBLP","540486","30491458","157.311","49","0","pagerankOmp"
